1,2,3,4,5,unique-pepts,Seq-cover,name-prot,name-gene
32.4567,31.9773,24.4156,28.731,23.3778,137,66,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,FN1
25.4741,24.9981,34.4389,34.6237,30.7775,1,73.8,Histone H2A type 2-A;Histone H2A type 2-C;Histone H2A type 1;Histone H2A type 1-J;Histone H2A.J;Histone H2A type 1-H,HIST2H2AA3;HIST2H2AC;HIST1H2AG;HIST1H2AJ;H2AFJ;HIST1H2AH
24.4904,24.6044,34.7309,34.2363,31.352,4,76.2,Histone H2B type 1-M;Histone H2B type 1-H;Histone H2B type 1-N;Histone H2B type 1-C/E/F/G/I;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 2-F;Histone H2B type 1-L;Histone H2B type F-S,HIST1H2BM;HIST1H2BH;HIST1H2BN;HIST1H2BC;HIST1H2BD;HIST1H2BK;HIST2H2BF;HIST1H2BL;H2BFS
23.9635,23.137,32.8396,33.7647,29.99,16,68.9,Histone H4,HIST1H4A
31.3211,30.4631,21.838,19.7424,22.5808,56,57.5,Collagen alpha-1(I) chain,COL1A1
31.9794,31.2618,23.5189,25.6914,22.3955,24,59.8,Pentraxin-related protein PTX3,PTX3
29.5641,28.9387,28.9717,31.0075,24.4185,25,58.8,Galectin-3-binding protein,LGALS3BP
21.9675,21.2259,31.8816,32.1793,29.5913,1,58.8,Histone H3.3,H3F3A
NaN,NaN,34.3397,27.8905,22.181,26,30.9,Exportin-2,CSE1L
24.6501,24.3408,30.7269,29.1366,27.0788,38,77.6,Annexin A2;Putative annexin A2-like protein,ANXA2;ANXA2P2
25.9115,25.4968,30.9755,28.1242,26.2211,2,73.1,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",ACTG1
30.7538,29.9643,20.2672,21.4129,19.524,35,12,Versican core protein,VCAN
18.9503,16.8997,14.1427,29.5939,23.1986,104,31.8,Mucin-5AC,MUC5AC
NaN,NaN,31.9645,31.9544,28.0884,0,67.5,Histone H2B type 1-B;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J,HIST1H2BB;HIST2H2BE;HIST1H2BO;HIST1H2BJ
27.3182,26.6887,30.7087,24.5976,23.895,25,78.8,Lactadherin;Lactadherin short form;Medin,MFGE8
21.655,21.3124,30.2415,23.0591,20.9842,51,60.7,Aminopeptidase N,ANPEP
29.359,29.4752,20.5655,17.933,22.0112,47,47.1,Collagen alpha-2(I) chain,COL1A2
24.8907,24.8476,30.1082,28.603,26.2104,18,73.8,Syntenin-1,SDCBP
22.8484,21.8676,29.48,27.0954,25.2575,28,59.9,Heat shock protein HSP 90-beta,HSP90AB1
24.5792,23.9275,29.5631,27.8437,26.1613,26,57.3,Heat shock cognate 71 kDa protein,HSPA8
26.051,25.5752,30.2277,27.7726,24.143,29,43.7,Integrin beta-1,ITGB1
19.9289,18.8674,30.76,31,27.5447,4,53.9,Histone H2A.V;Histone H2A.Z,H2AFV;H2AFZ
24.2681,23.6521,29.3702,27.6716,25.8536,42,75.1,Pyruvate kinase PKM,PKM
22.7884,22.7222,29.6127,24.7737,19.9658,20,71.6,Apolipoprotein E,APOE
24.3474,23.3836,30.2,26.6979,24.5798,11,67.1,Elongation factor 1-alpha 1;Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5
25.3329,24.5668,29.6081,28.5775,26.637,20,79.1,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH
22.2922,22.0486,28.6547,26.5002,23.3773,54,68.5,Programmed cell death 6-interacting protein,PDCD6IP
23.0365,22.9718,29.1803,27.6079,27.0954,27,75.1,Alpha-enolase,ENO1
NaN,15.3788,23.6312,29.215,25.0416,40,46.5,DNA topoisomerase 1,TOP1
23.9246,23.5385,30.0172,27.0946,25.1002,13,76.5,Cofilin-1,CFL1
25.0951,24.3347,31.3605,29.0361,25.9401,3,51.3,Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a,RPS27A
23.1093,22.7766,29.725,26.6106,25.2383,31,60.7,Moesin,MSN
23.1538,22.3866,28.5574,25.6713,24.4977,39,71.1,Alpha-actinin-4,ACTN4
23.4078,23.1309,29.5305,26.9176,25.5034,12,71.5,"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed",PPIA
21.9274,21.0276,27.9777,27.7513,23.8987,27,46.3,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1
23.5312,23.6655,28.4045,24.5964,24.45,27,58.2,5-nucleotidase,NT5E
15.8933,14.1773,27.2401,25.2479,18.2566,108,58.7,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,FASN
23.3348,23.3913,29.8823,27.6905,25.413,11,13.9,CD44 antigen,CD44
28.1157,27.5867,30.6974,29.8288,29.7051,22,48.7,Vimentin,VIM
NaN,NaN,29.1206,29.5461,25.2544,7,41.1,High mobility group protein HMG-I/HMG-Y,HMGA1
NaN,NaN,31.3615,30.2017,NaN,2,47.7,Histone H2A type 2-B,HIST2H2AB
18.2774,17.9546,26.7221,23.5165,18.4869,140,52.5,Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide,HSPG2
20.6104,20.2906,27.2934,24.2935,22.5325,226,64.8,Neuroblast differentiation-associated protein AHNAK,AHNAK
22.3858,21.5075,28.8679,28.2532,23.7478,36,77.8,T-complex protein 1 subunit beta,CCT2
22.4777,22.858,28.4373,28.0707,24.0399,27,77.8,Annexin A5,ANXA5
18.8679,17.1238,29.7327,29.8274,25.7052,16,50.8,Core histone macro-H2A.1,H2AFY
23.613,23.6887,27.3633,27.7447,26.973,26,70.8,Annexin A1,ANXA1
NaN,17.3939,29.2376,28.3241,22.3201,9,33.6,Histone H1.5,HIST1H1B
22.3851,20.7872,29.386,28.3802,24.6808,1,34.2,Histone H1.4,HIST1H1E
18.6426,17.3478,26.8446,24.7227,20.928,83,62.7,Clathrin heavy chain 1,CLTC
20.4843,19.8219,27.4761,26.6514,24.2874,115,69.4,Filamin-B,FLNB
22.5382,21.6352,28.499,24.6325,21.155,21,22.1,Integrin alpha-3;Integrin alpha-3 heavy chain;Integrin alpha-3 light chain,ITGA3
23.234,22.5063,26.9277,25.1986,23.4889,92,55.4,Filamin-A,FLNA
21.9367,21.504,26.8449,26.4928,23.8108,44,70.3,Annexin A6,ANXA6
22.1239,21.6628,28.7243,23.9502,22.6125,25,20.1,Collagen alpha-1(XVIII) chain;Endostatin,COL18A1
23.002,22.1181,28.5295,26.3591,24.567,1,61.6,Tubulin beta-4B chain,TUBB4B
21.5945,20.1573,27.1425,26.623,21.9998,43,74.9,T-complex protein 1 subunit epsilon,CCT5
14.5382,NaN,26.5486,27.1436,20.4827,42,62.9,X-ray repair cross-complementing protein 6,XRCC6
27.4741,26.5876,20.1768,25.0765,20.6137,34,45.8,Collagen alpha-1(VI) chain,COL6A1
22.8436,22.5017,28.2794,27.139,25.8042,13,72.4,Peroxiredoxin-1,PRDX1
22.7133,22.3028,27.9457,25.6572,22.707,0,77.8,Tubulin alpha-1B chain,TUBA1B
21.5604,21.1633,28.3936,26.676,24.3985,27,67.6,Phosphoglycerate kinase 1,PGK1
15.2183,14.6236,27.218,26.5958,14.4772,39,46.1,Integrin alpha-2,ITGA2
NaN,NaN,30.9609,27.4816,NaN,5,14.9,Lipase member H,LIPH
18.8148,18.1853,29.3538,29.05,25.4038,0,48.1,Histone H2A type 1-A,HIST1H2AA
21.1848,20.735,26.6469,26.0253,22.6229,36,71.4,T-complex protein 1 subunit theta,CCT8
21.6534,20.6615,27.6683,25.0855,23.0577,43,56.1,Elongation factor 2,EEF2
22.6884,21.8717,29.9319,25.2369,20.4731,7,40.6,CD59 glycoprotein,CD59
22.5356,21.795,26.3806,24.5807,22.6615,84,49.2,Myosin-9,MYH9
16.2169,16.4501,26.8039,22.9789,19.6257,48,62.8,Major vault protein,MVP
21.1647,20.4972,27.0396,25.4648,23.0334,17,54.4,Heat shock 70 kDa protein 1A;Heat shock 70 kDa protein 1B,HSPA1A;HSPA1B
24.481,23.5876,26.6978,26.6125,23.6167,42,66,Transitional endoplasmic reticulum ATPase,VCP
23.0156,22.3076,27.3875,27.3509,25.2094,32,56.1,Heat shock protein HSP 90-alpha,HSP90AA1
24.726,24.0195,28.2692,22.2125,19.6185,20,54.2,Serine protease HTRA1,HTRA1
21.1487,19.3114,27.4209,26.8702,22.8052,32,65.1,T-complex protein 1 subunit gamma,CCT3
24.6101,24.9001,29.435,26.9731,23.2245,5,30.9,CD81 antigen,CD81
27.1776,25.2649,29.8975,27.4617,26.4651,4,36.3,"Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle;Actin, alpha skeletal muscle",ACTC1;ACTA2;ACTG2;ACTA1
